"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"Sep 2017",3243,2764.59160246736,3721.40839753264,2511.33749474058,3974.66250525942
"Oct 2017",3560,2883.42835585616,4236.57164414384,2525.27296198225,4594.72703801775
"Nov 2017",2689,1860.37234870586,3517.62765129414,1421.72336689756,3956.27663310244
"Dec 2017",2333,1376.18320493472,3289.81679506528,869.674989481161,3796.32501051884
"Jan 2018",2302,1232.24630211028,3371.75369788972,665.952901652141,3938.04709834786
"Feb 2018",2689,1517.14353738246,3860.85646261754,896.800198188009,4481.19980181199
"Mar 2018",3169,1903.25035500371,4434.74964499629,1233.20296745309,5104.79703254691
"Apr 2018",3069,1715.85671171232,4422.14328828767,999.545923964506,5138.45407603549
"May 2018",3422,1986.77480740208,4857.22519259792,1227.01248422174,5616.98751577826
"Jun 2018",3079,1566.13981204558,4591.86018795442,765.280004835309,5392.71999516469
"Jul 2018",3200,1613.29884882905,4786.70115117095,773.349996883072,5626.65000311693
"Aug 2018",2980,1322.74469741172,4637.25530258828,445.446733795109,5514.55326620489
